 Tabela 8 ,,,,,,,,,,
 População que Trabalha por Vínculo Empregatício do Primeiro Trabalho e Zona de Residência – 2023 ,,,,,,,,,,
 Região Metropolitana de São Paulo ,,,,   ,,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,,,,,,
,,,,,,,,,,
, População que trabalha por Vínculo Empregatício do Primeiro Emprego ,,,,,,,,, Total 
 Zona de , Assalariado  , Assalariado  , Funcionário , Profissional , Autônomo , Autônomo ,, Dono de  , Trabalhador ,
 Residência , com Carteira , sem Carteira , Público , Liberal , com CNPJ , sem CNPJ , Empregador , Negócio Familiar , Familiar ,
,,,,,,,,,,
 281 ,"11,102",669,0,514,"2,773","2,144",0,"1,121",226,"18,549"
 282 ,"7,525",715,557,"2,940","2,531","2,432",0,0,0,"16,699"
 283 ,"6,399",0,130,189,"1,811","1,051",82,322,0,"9,984"
 284 ,"16,728",918,"1,206",0,"2,212","3,800",0,0,0,"24,864"
 285 ,"30,629","3,042",0,0,"5,443","13,597",0,435,"1,972","55,118"
 286 ,"3,173",49,314,0,748,"1,305",0,201,49,"5,839"
 287 ,"6,543",471,"1,377",194,"2,672",763,0,314,0,"12,334"
 288 ,"4,160",0,76,0,"1,485","2,722",0,0,0,"8,443"
 289 ,"13,692","1,281","2,104",0,"3,270","3,042",260,0,0,"23,649"
 290 ,"14,966",0,"1,772",0,"3,261","6,320",0,"1,051",496,"27,866"
 291 ,"16,033","1,365","1,257","1,386","3,611","16,615",0,0,0,"40,267"
 292 ,"21,969","3,016",133,236,"3,066","5,193",0,0,0,"33,612"
 293 ,"15,080","2,083","2,315",0,"5,415","4,847",0,0,0,"29,740"
 294 ,"17,505","2,093",637,"1,948","4,493","22,043",0,0,0,"48,720"
 295 ,"28,048","1,970","2,234",0,"6,067","21,134",0,"1,642",703,"61,798"
 296 ,"3,269","2,586",0,0,750,"2,595",0,0,0,"9,200"
 297 ,972,108,224,0,405,"1,024",0,45,0,"2,778"
 298 ,"29,715","1,277","1,826","1,493","7,913","28,164",0,"1,168","1,478","73,034"
 299 ,"3,080",369,95,0,95,"1,929",0,0,0,"5,568"
 300 ,,,,,,,,,,
 301 ,"10,411",0,816,"1,318","5,649","2,263",218,318,642,"21,636"
 302 ,"2,965",75,115,403,"1,733",424,329,0,0,"6,044"
 303 ,"5,291",0,320,482,"2,149","1,474",170,0,0,"9,887"
 304 ,"3,632",342,214,462,"1,395",906,255,74,0,"7,280"
 305 ,"28,920",974,0,0,"2,803","5,985",212,0,0,"38,895"
 306 ,"30,495","4,740","2,880","1,562","4,031","15,266","1,011",816,632,"61,432"
 307 ,"23,248","1,769",362,0,"1,447","5,332",0,0,0,"32,157"
